person_uuid,age_group,sex,occupation,district,kure_probe_text_length
0047fa87955547fbb15e149e2c45bf27,30대,남자,그 외 일반 영업원,성동구,91
00498a03a9964a4db4211ba78f3a1411,30대,여자,공공행정 전문가,고양시 일산서구,95
004cd0fcc1094d74b1f71d5bf9d09249,10대,남자,무직,동구,67
004da68e2fc64443a081317cc518342f,30대,여자,무직,청주시 청원구,75
004fced9315e44a7983fb3e4a4729f05,20대,여자,무직,김포시,105
00514c1e53ba4738b5a1625f3f9e02bc,20대,여자,승용차 및 승합차 운전원,남동구,77
005218450fa04346915029da8f133add,10대,남자,무직,세종시,99
005517da59ff4367be60930c956b80df,10대,남자,음료 배달원,안양시 만안구,70
005666b45b0c432b8623c3f3f5525f70,30대,여자,체육 및 그 외 분야 교수,서초구,74
005727770a504b74bb38cc124d40a06b,30대,여자,무직,오산시,69
005742f024854f84a0216c1c2df268ec,10대,여자,무직,부천시 소사구,61
00592e41517e472aa1644a279c291f76,30대,남자,"전직 섬유 및 펠트 관련 선별원, 현재 구직중",광주시,87
005afa3414ae4dc4bcd1df7bcc6edfc5,20대,남자,일식 조리사,제주시,81
005dec0ccccd4720ae5b551ddbc73b1f,20대,남자,무직,달성군,89
0062fa8d38584a2fbb7f6174c3320389,20대,남자,철도운송 관련 종사원,순천시,80
00654e2388dc458a91bc67224a51a561,30대,남자,농업 단순 종사원,화성시,83
0065965e4f1b4b6eb43d011da7da4a26,10대,남자,무직,수성구,71
0069d1767dc84c8394d3b2dc25297835,20대,남자,회계 사무원,의정부시,88
006a76cabb54401b83a09fc1cc45c687,20대,여자,무직,전주시 덕진구,97
006a89ce22124a23ae8414d171b63cf5,10대,남자,무직,북구,94
006b63c2be1d481fb1c26c45e1f3a6ee,10대,여자,무직,안산시 상록구,86
006c505de8474fd69fbe08e68d7ec24c,20대,여자,네트워크 시스템 개발자,용인시 기흥구,116
006cd25bd3804d858666d668d9e9409b,20대,여자,일반영양사,마포구,74
006d4e91fc4c46fda2f3496d1f356ee3,20대,여자,무직,경산시,83
006e1621c64d449eb63aa3e26e3f4821,30대,남자,통신장비 기술자 및 연구원,구미시,80
006ea8c49de74948a671af8641cf9d1b,10대,남자,무직,남구,81
006fb47aecc748969443e3ed4c1c50e5,30대,남자,생산관리 사무원,원주시,58
0070309b638c4a76a94c65c7087cba5b,20대,여자,무직,해운대구,86
00706da2b0474f329a148db13afb88c6,20대,여자,경리 사무원,서구,113
0070e00021744154a2994a156b82bb96,30대,남자,교육 및 훈련 사무원,수원시 영통구,74
0070fd75336b4ef0bdcfc77569a50dde,20대,여자,환경 검사원,부평구,75
0072ead877ab41cab0dec993940946ba,20대,여자,사무 보조원,전주시 완산구,83
0073523c13b44699a3534fe5711fa3df,30대,남자,총무 사무원,평택시,74
0074174181ea4a7fb23ef07ce70aeee6,20대,남자,"전직 컴퓨터 하드웨어 기술자 및 연구원, 현재 구직중",연수구,104
0074f4d8ecab40a180a00918943075e9,20대,여자,무직,성북구,88
0075e8287ac843ad970850b0fe4c358c,30대,여자,그 외 상점 판매원,수원시 팔달구,104
00780150439e4c51b7053818172df16f,30대,여자,초등학교 교사,용인시 수지구,75
00795cfecc1a4ffba063aa75c9a512a5,30대,남자,관세행정 사무원,강동구,94
0079a20c524f49eab67dc37931e93f83,10대,여자,무직,여수시,71
007bd81767df4f34be4d48727fa56ac4,30대,여자,경리 사무원,용인시 기흥구,109
007bf2dc029e4bc6bb300fbb328dadcb,30대,여자,무직,송파구,87
007c6bc54cd944b78b60facc6b38be4b,20대,남자,방수공,서구,53
0081b2d5ed174b47a4ea1f3f3486c56b,30대,여자,무직,평택시,81
0082ccc5fb4748ab8d2ba4539d15a032,30대,여자,"전직 전시 및 시설 견학 안내원, 현재 구직중",북구,85
0083a160ce0946f48948eef4c41e3e23,20대,여자,언어재활사,강화군,107
0083caf86d9c403a865325b491f01ea4,20대,남자,교육 및 훈련 사무원,용인시 처인구,91
0083d8e0b6c94d78a245e010e38f3ddf,10대,여자,무직,용인시 수지구,69
008483a7137a46f5a31053503087f767,30대,여자,그 외 금속가공 기계 조작원,아산시,94
0085eaccb2f6470fb385c723374e71ca,30대,남자,플랜트공학 기술자 및 연구원,울주군,83
0086f60cd9fe4c569b789044c667b054,20대,남자,"전직 잠수 기능원, 현재 구직중",수원시 장안구,93
0087bf1f58ba4ba09686ca3914b345b3,20대,여자,노인 및 장애인 돌봄 서비스 종사원,서대문구,72
008973f0ecaf4ec2a97506510f853316,20대,남자,육군 병사,고창군,94
008976ff96f54699b2e4d3de5d6de705,20대,여자,출판 및 자료편집 사무원,남동구,107
008ae9f8ef0c47288a132290f6777e0a,20대,남자,무직,수원시 영통구,79
008afae2e88342a6b3e2de731af37149,10대,남자,무직,수원시 영통구,96
008b0a2254b445b6a8ad54449a9bac3d,10대,남자,무직,구리시,95
008bbad393f54cf0aa5f1ae1b458c6a0,20대,여자,"전직 미디어 콘텐츠 창작자, 현재 구직중",마포구,80
008ce0ade8bc4770912023e3e9f3a1d9,20대,여자,무직,제천시,84
009260a2fd11409b8cd85cb038ef5f50,30대,남자,그 외 기능 관련 종사원,관악구,99
009334d96c5d4b9b80cee1894446eaee,10대,여자,무직,광진구,84
00936e80fdb2439ab62976d389708202,20대,남자,무직,서대문구,92
00938f0a9f814b67adf3d0e1376b7133,10대,남자,무직,서초구,81
00975f8e65fd484f8697e20f9b727cad,10대,여자,무직,마포구,81
0097e27fe68d472b9ee8b906e78cdb1a,20대,남자,회계 사무원,진주시,83
00980b3d056342b0a3a6dc8cb53ccb73,30대,남자,금속 분무기 조작원,광양시,82
0099686ca32b4bc8afe2c6bf15f88976,30대,여자,수의사,구로구,87
009a3fa652cf45098d1115ac7736a8b8,20대,남자,마케팅 전문가,파주시,114
009d39466ff145739d5135e545401fbe,20대,남자,회계 사무원,창원시 의창구,76
009edbbbde04473bafa07842c18da047,30대,여자,조사 전문가,안산시 상록구,89
009f332aa02b42f5b2db77705b2f9a5c,20대,여자,유통 및 매장 감시원,동구,73
009fb4f35e6c4eafbf3f1c13411194dc,20대,남자,무직,용인시 수지구,92
00a283ce16f141dab202d2c7d27ce6f7,20대,남자,특허 사무원,부산진구,90
00a346cc37fe46f681d462fad5c900b8,30대,남자,하역 및 적재 관련 단순 종사원,서구,69
00a37b2a19e24450a82f3d2037e91e9e,30대,남자,일반 비서,평택시,95
00a45397ab8e427a86e8db1c4bfd614a,30대,여자,지게차 운전원,화성시,64
00a469d372bb48b4bb3bce300a1437a3,10대,남자,그 외 선박 관련 승무원,서산시,64
00a50a5d6e394c4abdb9bc873e021020,30대,남자,조경감리 기술자,용인시 처인구,74
00a599477f1649b08dc8ad6d099632dc,30대,남자,로봇공학 기술자 및 연구원,화성시,65
00a76471cd924f13b0fdc55753e7df22,30대,남자,공공행정 사무원,동작구,68
00a892ec908a4552924129332fd1b20b,20대,여자,무직,동구,69
00a8d5729e6f407aa818bc02e9bb70e1,10대,여자,무직,구리시,70
00a9c5d9b22746a196816253d5a4dcdf,10대,여자,무직,송파구,71
00a9e160db874730a385b73af5f38bd6,30대,남자,철도운송 관련 종사원,서구,68
00aa0a52db624e02837404022bcb2a5a,10대,여자,무직,중구,83
00aa6ce66be74e798e5a07fd93971910,20대,남자,그 외 법률 관련 사무원,동구,86
00abdfaf2e4e4f40897d18775ba0d9df,20대,남자,무직,마포구,92
00ad4b94ac674b9a9a6e363ff1cc8c53,20대,여자,그 외 상점 판매원,남동구,88
00ae5bdbc95f4bc5be587ff15785bde5,30대,남자,약사,서구,85
00aeef48389545b18b592d01e6b37442,20대,남자,전화 상담원,군포시,79
00b0ae6041c84e91b6144cabc20f6497,20대,남자,그 외 하역 및 적재 단순 종사원,부천시 소사구,68
00b27a9917244526af39b59668f269e4,10대,여자,무직,창원시 마산회원구,81
00b37da47d014859916ed1146a34baa3,30대,여자,그 외 상점 판매원,강남구,78
00b44c0022ab43abba613adf5b9dcc30,20대,여자,무직,남구,99
00b4571329b04548a983cf6f0aee6b5b,10대,남자,무직,청주시 청원구,68
00b53d18cc044b0ab6e13465d0f56485,20대,남자,그 외 하역 및 적재 단순 종사원,천안시 동남구,78
00b821b5ceb3425ba0679b4171fdc398,20대,남자,방송 송출 장비 기사,평택시,73
00b992bb4db547a3adf733341e920466,30대,여자,패스트푸드 준비원,화성시,92
00bb889d10f348fcb6e3aaabd0589b46,10대,남자,무직,부천시 원미구,75
00bced1d252e430a81c215354e404a4a,30대,여자,인쇄판 출력원,시흥시,75
00bd9bc30b1a42f68ad7145f10449e68,10대,남자,무직,의왕시,72
00bfea701df24c35a68ac28b6fe9ff7a,10대,남자,무직,달서구,82
00c24a4b36c0488483a0cb8704bb98f1,30대,남자,그 외 일반 영업원,금천구,103
00c2abe1186f496dafbbafe2ec4918b5,30대,여자,금형원,안산시 단원구,74
00c33c3f2fc9445b9fb547abdf61cd83,20대,남자,광고 전문가,강서구,74
00c412307db14b8592fb30c5e5c80f7c,30대,여자,마케팅 전문가,경산시,79
00c4d68acff14f3eb3b9316a73cd5e65,20대,남자,그 외 데이터 및 네트워크 관련 전문가,동작구,86
00c6b3453fa44a9f837bccb5a53d74f3,10대,여자,무직,통영시,96
00c7165bd77343fcb9fe4648e5fe7c01,20대,여자,그 외 상점 판매원,성남시 수정구,79
00c7c0d36af241e789df8f76833848e1,30대,남자,음식 서비스 종사원,수영구,77
00c8188d86704726b5b5fb77695b6513,30대,여자,무직,인제군,84
00c8270c772c49bab9ed3b0b3e6337fb,30대,남자,단말기 및 통신 서비스 판매원,연천군,88
00c88f434a474307955645459447829f,10대,여자,무직,남양주시,78
00c8e7109e654fb5a52989b6536f3675,20대,여자,식품 영업원,남동구,79
00ca1ebaa353428eaed7ceb5d525cb4c,20대,남자,건물 내 전기 설치 및 정비원,서구,85
00cbb77db71147a78b03918fe719be1f,20대,여자,무직,포천시,73
00ce5d417b3640f7a4d89b395e04f028,10대,여자,무직,창원시 성산구,106
00cf59c8ee6842fa9decffd96944b890,20대,남자,그 외 조리사,성남시 중원구,74
00d2317c123a4d5683e18046e7e0748b,30대,여자,조세행정 사무원,강남구,89
00d44eaf5bde469bb909a69ca414ad52,30대,남자,스포츠 감독,북구,86
00d56860c97c42719bf523343082f4ce,20대,여자,무직,아산시,69
00d9294e25014d38ae5f29bd5474560e,30대,남자,생산관리 사무원,청주시 서원구,91
00d9b81346624cdb9f8d60acf50a98c4,30대,여자,무직,북구,110
00dae7b294ae4d4aba6419877683963d,30대,남자,데이터 분석가,서초구,87
00db42985a724a2e9dd687753b12d137,20대,여자,무직,태백시,84
00dffbbb28424810910061fd8a2672f4,20대,남자,무직,송파구,83
00dffe0c74874a4fa9899f689d347ed3,20대,남자,사무 보조원,이천시,72
00e09ad42726482b887553411baee5a0,30대,남자,무직,동래구,95
00e8b356a89348ac84ac136bf79678bd,10대,남자,무직,하남시,75
00eb75bd1a9e4778a934a87548c4a391,30대,남자,무직,양산시,93
00ec57cda17148ffa54b2a7a4b5313a4,30대,여자,그 외 일반 영업원,노원구,85
00ecb23d9b1943a88a31bcdb499a70df,30대,여자,방역원,서대문구,77
00ed3080c73d4fbca1403577d92d6b2a,10대,여자,무직,오산시,88
00edc636eee947d2bc3937e59f1e4281,20대,여자,그 외 제조 관련 단순 종사원,부천시 원미구,71
00ef70671bec405bb319283dab6b1398,20대,여자,일반 간호사,안양시 동안구,73
00f00b08f41f454b8ff61467bd1fcc2c,20대,여자,무직,해운대구,105
00f01acdd99f4737947d0c59afc1451f,10대,남자,무직,구로구,80
00f0d9bff1a243ceb35b3a82f3cb8288,30대,여자,변호사,유성구,87
00f22d29fde54d588a79b99b3140ac66,20대,남자,전화 상담원,부평구,79
00f2f6b9d7114cd49450791d3202c92f,20대,여자,무직,광진구,103
00f37c786ad64ccfa24e776114c4e43c,30대,여자,한식 조리사,광주시,78
00f4895221b449ff927c68d7ca9caaaa,10대,여자,무직,서초구,83
00f4b4438cb148feb600078baebee066,10대,남자,무직,제주시,71
00f5a5433b4349b0a607f8bb87a95a07,20대,여자,무직,남구,94
00f93aa6c3a442688435b72914ca0f22,20대,여자,무직,광산구,63
00fa461ffbaa400290b7350aa6f47fae,10대,남자,무직,서구,67
00fb6ec894fc4cd09b4072eef5efca32,30대,남자,교육 및 훈련 사무원,춘천시,106
00fc9e76310846baaff7f100bf37ce7d,20대,여자,무직,경주시,62
00fda927ddd24c1ca7a61a5e6d6db351,30대,여자,무직,안성시,78
00fe0af2bf0d478ba2f3bba77d46543c,30대,여자,지방행정 사무원,순천시,86
00ff5545c6b249d1bb0e3d787dffa14f,30대,남자,무직,세종시,93
00ffd740e4ce4f449928801124586f38,30대,여자,출납 창구 사무원,부평구,67
01002e3535264923b3b150087520fbb1,20대,여자,영상·전자음향기기 설치 및 수리원,북구,86
010244f239c74ae58758df25a8009359,30대,남자,그 외 컴퓨터 시스템 및 소프트웨어 전문가,용인시 수지구,80
0103fbd24299494c94e0073d186a6d4e,30대,남자,금속절곡기 조작원,광산구,75
01042f90fa17435fb15d8a10dbd71ae1,10대,남자,무직,화성시,80
0107c680224c400e873ae0a63b3be009,30대,남자,육군 장교,유성구,87
0109156905ad4cd99b33b4a807c92564,10대,남자,무직,중랑구,81
0109b3404f1d4c658121f0651a82213d,20대,여자,무직,강동구,87
0109e0e4563e4c94a5269ff861c5ccf7,30대,남자,품질 관리 사무원,청주시 흥덕구,80
010b6ff907e547b59906fc12720a9354,30대,여자,영상 및 음향장비 조립원,부평구,69
010c0574d70748f3a2e2f748d1bb34bb,20대,여자,무직,충주시,92
010ede13d15d4d7db05cdcba8d5218ec,10대,남자,무직,안양시 동안구,71
01105c4fe4b84ce182d04324ca0cb5a7,30대,남자,농수산물 중개인 및 경매사,통영시,72
01111eea92d846ab967bbc4d2140bf56,10대,남자,무직,부평구,83
0112acafbf4e45aa8f8f158c708760b6,30대,남자,무직,속초시,80
011319a4ee534ed7a6df42a748d3bfe3,20대,여자,무직,부천시 원미구,84
0114f181799746b7a2de72345fd62e1c,10대,여자,무직,고양시 덕양구,83
0115ab6fde1f43a9abf0e5b497248aa9,30대,남자,가스 배관공,천안시 동남구,90
011d2729aa2742a694c6903b1b784173,10대,여자,무직,화성시,56
011d54ffcf11497ba607e40ccc6a1a8f,20대,남자,시각장애인 특수교육 교사,노원구,89
011ded9575234699b37b883585a9b6dc,20대,여자,무직,부산진구,98
011e0794fc8145e5917cf8f4aab10e78,30대,남자,무직,수원시 팔달구,92
011f75717a0c48b38c38f8d9c1a86613,10대,여자,무직,청주시 상당구,57
011fd9bda7664cc2a9b01f0890e9e311,10대,남자,무직,원주시,101
011fdcb3b787415b8c3bde67393b87f3,20대,여자,건설 단순 종사원,은평구,73
01210677cc7249529da9cb2c0f949f90,10대,남자,무직,연수구,77
0122ab655c964d3da594aeb49934a268,10대,여자,무직,서구,71
0122ed82620f4342a84b0e529e98a708,10대,여자,무직,평택시,81
0122f9978a8f458a9e12eaefe808ba80,20대,여자,렌즈 및 프리즘 가공기 조작원,수영구,91
0123fe0d660148cdab435d299627e2cd,30대,남자,자재 관리 사무원,서구,75
012559d379fc408f83c60194e58fe155,30대,남자,자동 조립라인 조작원,강북구,77
0126d8f2841d44edad7bc96f14ee53db,20대,여자,무직,고양시 덕양구,70
01277240dc2c4a379a16f0995bacd7e3,20대,여자,무직,오산시,76
0128d4810a034f88b47a35430c20adc2,10대,남자,무직,구례군,80
012917dd70bf43a29e51ab0c5949b984,30대,여자,그 외 마케팅 및 광고·홍보 관리자,시흥시,70
012c228b89114e089fbb62e5a99928f1,10대,남자,무직,유성구,93
012c88125e924e5f81f61c453fab45bb,20대,여자,무직,용인시 기흥구,94
0130c421f68740f19d6a9d737c823d31,30대,남자,"전직 가전제품 판매원, 현재 구직중",관악구,75
0130d48ca04b40dbb7fdbe2bb92af2b5,10대,여자,무직,고양시 일산서구,83
013190f31b794af8ae4e2e1ca355070f,30대,여자,조사 전문가,용인시 기흥구,86
0131a7d9967a422ca0bcc43c6019d933,30대,여자,총무 사무원,아산시,92
013361b4d16a4490ad58bb5284027e84,30대,남자,전기 용접원,양산시,65
01353b37923340b4aa0157e3e42adeb4,10대,남자,무직,아산시,92
01377c851c094cabbbba09f9fced65f9,20대,여자,무직,양양군,80
013dd3d20ef6481bb663db77915e37ea,30대,여자,사회복지사,수원시 영통구,85
013f71a0bfa64ff4950dec1e8bc36613,20대,여자,무직,노원구,80
01418809608344e0992217e4bb0a4154,20대,여자,유치원 교사,성동구,64
0142588a07664287bf6bd1013f9b0c9c,30대,여자,무직,용인시 처인구,92
014524ca003f496a9dbb3e2863c4bcab,30대,남자,철로 설치원,북구,74
014551630cab465ab81d582b4f8d8f0f,20대,남자,무직,강북구,93
0145924034414dd68a59998b73aac9b4,20대,남자,무직,동구,81
0146d29db4174839a05b5877cc21c80c,30대,남자,자재 관리 사무원,부평구,74
014813fb0d3c4a369d3edb1a9c0dba2c,30대,남자,데이터 분석가,동대문구,82
0148832848b64377b66634dbeb5c2a78,20대,남자,가스 용접원,평택시,76
0148acb60be84200b54b5704597baf56,10대,여자,무직,서초구,83
0148b041de7640a8856c2363dc950927,20대,남자,그 외 소방공학 기술자 및 연구원,옥천군,78
01490b6c070f4cba87ad90b4bf6d7b8f,10대,남자,무직,용인시 처인구,81
014b55bb5a0a482f8305f93f6ad13e67,20대,여자,"전직 한식 조리사, 현재 구직중",의정부시,95
014ca5e74d5445b884f8d6a7bff2c6f9,20대,남자,무직,부평구,63
014ccd2162d0429cb9aaa4e3c0ea861f,10대,남자,무직,송파구,72
014dc1b3e17e4e0db43301456782cfa0,20대,여자,무직,은평구,79
014e2acd5ca94f9da633304d8fc8b2de,20대,여자,무직,나주시,91
014fed176acc4885a98c5611815e84ee,30대,여자,산업 안전원,달성군,85
0150cd567865407392c5e34092b2578c,20대,여자,마케팅 전문가,수성구,110
0150f301da884641b6da36d4daf0c464,20대,남자,수상운송 사무원,북구,82
0152a456b6fb4b368ca64cde6e2c5458,20대,남자,무대 및 세트 디자이너,유성구,80
0152edc11b5b4f5b8f1fb2f601c77c78,10대,남자,무직,고양시 덕양구,94
0157df9c2b214dd9bbaae7e426066534,30대,남자,금속제품 생산 관리자,북구,90
015a49cc99d14c6aa6f29b75dd38b97c,30대,여자,무직,창원시 성산구,85
015a86d513c84ccbb803d5066179a883,30대,남자,중형 화물차 운전원,은평구,88
015ad7962220435ba62af8da71069e62,30대,남자,119 구조대원,동대문구,85
015b57aa12234a88b49258d68084c724,30대,여자,우편집배원,무안군,79
015da19a680143498906b3a8b674abe7,10대,여자,무직,대덕구,91
015da95f3a4d4eb8b7fbd046600e92d6,30대,남자,출판 및 자료편집 사무원,유성구,70
01639cf5042d49d0a081023d4f0b33f6,30대,남자,건물 도장공,의정부시,77
01640ea26c6c487ab8209779aa2b8d51,20대,남자,무직,원주시,88
0166ccaebfa544a0b308fdb47088d945,20대,남자,무직,사하구,91
01696d9a96a34491ae1447c49ebd4b3f,30대,여자,국가행정 사무원,연수구,87
01699a7e1a7f48c7818a8aaf98a90bbb,20대,남자,무직,용인시 기흥구,70
016a0a24cb7b42f19d1361bdc9852b16,30대,남자,관리 비서,파주시,68
016aa046a37b45a2b4bb7e01af02fce2,30대,남자,인발기 조작원,청주시 흥덕구,92
016abd3b5173457eb41f9033b6edb94a,20대,여자,농업용 기계장비 기술 영업원,아산시,77
016b522ec1f247c6bff30381b97c5b10,20대,여자,양식 조리사,예산군,95
016b8e6c291f49d98b643a1c4b15f5a3,20대,남자,무직,공주시,83
016c7eb7f559404fa354c6fc248a9977,10대,여자,무직,김포시,98
016ee646f7f54c34a692d74c25a144e8,20대,남자,그 외 기능 관련 종사원,관악구,95
016f47693b6342319d29800a2af8b788,10대,남자,무직,포항시 북구,90
0170ab55f7d8490486d8b31682a78d18,30대,남자,플랜트공학 기술자 및 연구원,태안군,84
01750a246f7f4484aca0d9c76782a07f,30대,여자,무직,화성시,92
0177cf902b384c95b811c7ac8aec919a,20대,여자,시설 경비원,유성구,62
017842536da04212b7a6cb46c5e61e38,20대,여자,음료 서비스 종사원,춘천시,77
017a5da3b2604a2bb83b74f3474b7181,20대,여자,예약 및 접수 사무원,금천구,70
017bf8aacb744068ac4b380a60ed7e73,20대,여자,무직,천안시 서북구,83
017ce7cfd9274fafbd838e5f406470b1,30대,여자,온라인 쇼핑 판매원,남양주시,72
017d6389868a42dda09ba6a60970924b,30대,남자,지방행정 사무원,양산시,84
017fef0c07ed4f6caffb29d9a6cf7cac,10대,여자,무직,칠곡군,95
0181ad19ee0744bf82e78a580f6332b9,30대,여자,무직,영등포구,78
0183022ef7514f38802ea23d784d829d,30대,여자,경리 사무원,홍천군,72
01836feb01b84fbb90af227d8aaacc65,30대,여자,전자 부품 제조 기계 조작원,시흥시,102
0184eb98054d426c8157188c32211e13,20대,여자,무직,성남시 분당구,95
0186e3cf79bb4e959b9a97227e83fead,20대,여자,무직,원주시,88
0187117e358044919b307319b31c40d4,20대,여자,방송 및 시나리오 작가,중구,92
01886963f37542fc8ec61c0888238875,20대,여자,보육교사,달서구,86
01893e77ea454ef492695529503ab775,20대,남자,무직,강동구,87
0189eda7c9c44cd59a9213a7cfe4adfd,10대,남자,무직,부평구,62
018a51e4504d4be38719a7fd93599ed5,10대,여자,무직,용인시 기흥구,80
018c981b0c044071aec41048f066fc5c,10대,여자,노점 및 이동 판매원,구로구,78
018e430a903f4be6872314b909b384f0,20대,남자,그 외 기능 관련 종사원,은평구,109
018ea45a96514d639e9763e494a64816,20대,남자,경영 기획 사무원,완주군,105
0194ee2d703b43cba3580c05ead6efec,20대,남자,일식 조리사,아산시,68
01966a0249d9444eb33d5fc830b2e59e,20대,여자,상품 기획자,계양구,86
01980e78206b44488bcbf41e6861ed37,30대,남자,고무제품 생산기 조작원,화성시,77
01981eaa07024909a4a51177bf5399ff,20대,남자,위험 관리원,밀양시,88
0199b3728a8546c6a73ff14d7e39105c,10대,여자,무직,전주시 덕진구,65
0199cefdc7cc48f7984bf6ded99cc9c6,20대,남자,바텐더,동작구,63
0199f818de224802971f2f4ccdc47ee4,10대,여자,무직,북구,78
019aba355f6d45b8a5ce29fc0ae4bcab,20대,여자,무직,화성시,73
019bbe5bc684476eb6ff237b133967da,30대,남자,산업 안전원,부평구,69
019bc44f2f0a42598b0d544ad3c2a51d,30대,남자,건물 경비원,강릉시,68
019cf4ecf84a4c9f8bee9cea8864ac6b,10대,여자,무직,평택시,65
019f636f259240e0960bf0b286faf55b,20대,여자,교육 및 훈련 사무원,시흥시,83
01a0d5c53e0b42789db84a7d1e71296c,20대,여자,무직,동구,104
01a150d97c0a4fcdba5dab80bafcde9c,20대,남자,영업 관리 사무원,용산구,89
01a1c53c0ba24b71b0d80fdd86fbd26c,10대,여자,무직,춘천시,90
01a2fb5623db46009f2d0cca2fd82678,30대,여자,그 외 돌봄 및 보건 서비스 종사원,중랑구,78
01a3ab15effb465f9a200e787b422b86,10대,남자,무직,송파구,80
01aa924b8934409f8fb11988927c400b,10대,여자,무직,전주시 완산구,75
01ac3ee128de4a4eb1b7e09af1885064,30대,남자,무직,용인시 기흥구,96
01afa4ba61c942d8a2f36fd58a6ef99f,20대,여자,조사 전문가,포항시 남구,86
01b0bcccd3cd4ff8941d8acd103fa82d,30대,남자,네트워크 프로그래머,중랑구,90
01b1361a885144f6842ad4b3bbb8acfe,30대,남자,바텐더,전주시 완산구,79
01b237d762c24748b73826b4347f1631,30대,여자,내과 전문 의사,서구,66
01b300b865974c108a858e391ccbf0bf,20대,남자,무직,수원시 팔달구,115
01b3403a3519482a8fd5e54fa5ca48a4,10대,남자,무직,화성시,88
01b3428e1f3642e781507f1c80f61b23,20대,남자,무직,문경시,66
01b387e6f9704efd94ace191ce6fdd09,10대,남자,무직,화성시,73
01b6637e5414450a99dee1df22f59101,20대,여자,그 외 일반 영업원,양천구,97
01b7d771dda8488db5d0aa9a8f31e8ef,20대,남자,무직,진주시,95
01bce93ec67447318b43de72b8fa98b9,20대,여자,무직,김해시,79
01bd828952cc47d6aca4911d64179865,20대,남자,용융 도금기 조작원,울주군,67
01bda682824a429bbb2ebba691154fd1,20대,남자,무직,달서구,95
01bf816d4b284a438318b5596f414284,30대,남자,품질 관리 사무원,김천시,90
